bda khang blang,Bda Khang Blang(Viet Nam),11.75,107.88333300000001
bda khang nho,Bda Khang Nho(Viet Nam),11.783333,107.88333300000001
bdabba,Bdabba(Lebanon),34.35,35.8166667
bdabhoun,Bdabhoun(Lebanon),34.2602778,35.874444399999994
bdabhun,Bdabhun(Lebanon),34.2602778,35.874444399999994
bdada,Bdada(Syrian Arab Republic),34.783333299999995,36.1666667
bdadun,Bdadun(Lebanon),33.81,35.561111100000005
bdair,Bdair(Iraq),31.971388899999997,45.4066667
bdama,Bdama(Syrian Arab Republic),35.8166667,36.2
bdamah,Bdamah(Syrian Arab Republic),35.8166667,36.2
bdamioun,Bdamioûn(Syrian Arab Republic),35.5833333,35.9
bdamyun,Bdamyun(Syrian Arab Republic),35.5833333,35.9
bdaoua,Bdaoua(Morocco),32.699101,-7.856439999999999
bdaoua,Bdaoua(Morocco),34.984361,-6.053489
bdaoua et taif,Bdaoua et Taïf(Morocco),35.1999,-6.022208
bdaoua rbayah,Bdaoua Rbayah(Morocco),34.942506,-6.118431
bdaoua sejra,Bdaoua Sejra(Morocco),35.168831,-6.039498
bdarie,Bdarié(Syrian Arab Republic),34.9,35.95
bdavn,Bdavn(Tajikistan),38.4166667,71.7666667
bdaye,Bdâyé(Syrian Arab Republic),36.7333333,38.1166667
bdayghan,Bdayghan(Syrian Arab Republic),35.1166667,35.95
bde`doun,Bde`doun(Lebanon),33.81,35.561111100000005
bdeaoua,Bdeaoua(Algeria),35.7,1.3333333
bdebba,Bdebba(Lebanon),34.35,35.8166667
bdebhoun,Bdébhoûn(Lebanon),34.2602778,35.874444399999994
bdeirhane,Bdeïrhâne(Syrian Arab Republic),35.1166667,35.95
bdekhovo,Bdekhovo(Russian Federation),57.7205,38.7925
bdeneves,Bdeneves(Czechia),49.768095,13.232517000000001
bdibba,Bdibba(Lebanon),34.35,35.8166667
bdin,Bdin(Czechia),50.214003999999996,13.858981
bdintsi,Bdintsi(Bulgaria),43.533333299999995,27.516666700000002
bdinzi,Bdinzi(Bulgaria),43.533333299999995,27.516666700000002
bdirah,Bdirah(Syrian Arab Republic),35.05,35.9333333
bdire,Bdîré(Syrian Arab Republic),35.05,35.9333333
bdissa,Bdissa(Nigeria),7.233333,10.633333
bdoua,Bdoua(Morocco),32.699101,-7.856439999999999
bdouqa,Bdoûqa(Syrian Arab Republic),35.15,36.2
bdshoy polsvizh,Bdshoy Polsvizh(Belarus),54.85,28.733333299999998
bdubba,Bdubba(Lebanon),34.35,35.8166667
bdun,Bdun(Tajikistan),38.2202778,71.4888889
bduqah,Bduqah(Syrian Arab Republic),35.15,36.2
bdyn,Bdyn(Russian Federation),56.760925,32.413203
bdyukhi,Bdyukhi(Russian Federation),57.503785,28.737828999999998
