j. a. correia,J. A. Correia(Mozambique),-24.4930556,34.3147222
j. a. lopes,J. A. Lopes(Angola),-12.766667,15.45
j. albornoz,J. Albornoz(Argentina),-48.433333000000005,-68.966667
j. almeida,J. Almeida(Angola),-11.009478999999999,15.078628
j. anastacio,J. Anastácio(Brazil),-21.05,-45.216667
j. andrade,J. Andrade(Ecuador),0.65,-77.7166667
j. arauz,J. Arauz(Argentina),-38.086058,-63.431687
j. arditi,J. Arditi(Argentina),-35.129911,-57.649062
j. artur,J. Artur(Brazil),-12.416667,-40.633333
j. atucha,J. Atucha(Argentina),-35.544841,-59.351204
j. b. moutinho,J. B. Moutinho(Angola),-12.75,15.133332999999999
j. barros,J. Barros(Angola),-12.666667,15.45
j. bastos,J. Bastos(Mozambique),-26.3347222,32.2991667
j. bernardes,J. Bernardes(Brazil),-16.5,-52.05
j. blaguier,J. Blaguier(Argentina),-35.763384,-59.303264
j. blaquier,J. Blaquier(Argentina),-35.763384,-59.303264
j. brasileiro,J. Brasileiro(Mozambique),-23.8736111,34.9397222
j. buissa,J. Buissa(Mozambique),-26.323888899999996,32.0947222
j. c. campos,J. C. Campos(Angola),-12.75,15.016667000000002
j. cacho,J. Cacho(Mozambique),-26.2647222,32.1811111
j. caderocco,J. Caderocco(Argentina),-38.135549,-61.090635999999996
j. campos,J. Campos(Mozambique),-25.6352778,32.7627778
j. cordero,J. Cordero(Mozambique),-26.077222199999998,32.2
j. correia,J. Correia(Angola),-12.583333,15.483332999999998
j. correia,J. Correia(Angola),-9.283333,15.933333
j. cortes,J. Cortes(Argentina),-30.978081,-62.505331000000005
j. couste,J. Couste(Argentina),-38.894459999999995,-63.137919
j. cumbula,J. Cumbula(Mozambique),-26.370555600000003,32.5161111
j. d. ocampos,J. D. Ocampos(Paraguay),-25.4,-55.433333
j. david taitu,J. David Taitu(Mexico),18.516667,-101.083333
j. de garay,J. de Garay(Argentina),-38.869732,-64.551534
j. del agua,J. del Agua(Cuba),19.95,-77.5333333
