ja da rua,Jã da Rua(Portugal),39.856269,-8.769687
ja dasht,Ja Dasht(Iran (Islamic Republic of)),28.8054,52.6359
ja gharq,Ja Gharq(Iran (Islamic Republic of)),36.312,59.3226
ja ja,Ja Ja(Iran (Islamic Republic of)),32.7341,51.0918
ja koto,Ja Koto(Gambia),13.65,-15.316666699999999
ja moghan,Ja Moghan(Iran (Islamic Republic of)),28.55,53.5711
ja mohammad,Ja Mohammad(Iran (Islamic Republic of)),26.421944,60.554444
ja morgh,Ja Morgh(Iran (Islamic Republic of)),26.829905,59.722733
ja mulua,Já Mulua(Angola),-10.667339,22.261119
ja oemboh,Ja Oemboh(Indonesia),-7.733333,139.966667
ja ordu,Ja Ordu(Iran (Islamic Republic of)),32.7795,48.3205
ja sajo,Jã Sajo(Guinea-Bissau),12.4666667,-14.1
ja shiran,Ja Shiran(Iran (Islamic Republic of)),36.9912,45.2527
ja umboh,Ja Umboh(Indonesia),-7.733333,139.966667
ja vi shak,Ja vi Shak(Iran (Islamic Republic of)),28.183333,51.683333000000005
ja yi murgh,Ja yi Murgh(Iran (Islamic Republic of)),26.829905,59.722733
"ja""farabad","Ja""farabad(Iran (Islamic Republic of))",39.1695,44.7705
ja'afari,Ja'afari(Pakistan),25.439722,64.32
ja'enak,Ja'enak(Iran (Islamic Republic of)),28.7879,51.0691
ja'er,Ja'er(Iran (Islamic Republic of)),28.0025,56.8463
ja'far abad,Ja'far Abad(Iran (Islamic Republic of)),34.867778,50.638889
ja'far abad bahabad,Ja'far Abad Bahabad(Iran (Islamic Republic of)),32.04525,55.954576
ja'far abad olya,Ja'far Abad Olya(Iran (Islamic Republic of)),34.243202000000004,48.138521000000004
ja'far abad sofla,Ja'far Abad Sofla(Iran (Islamic Republic of)),34.266667,48.166667
ja'far kot,Ja'far Kot(Afghanistan),32.877712,69.419662
ja'far qoli ushaghi,Ja'far Qoli Ushaghi(Iran (Islamic Republic of)),39.2787,47.1373
ja'far sadegh,Ja'far Sadegh(Iran (Islamic Republic of)),31.189088,49.65183
