rba sfia,Rba Sfia(Morocco),32.913348,-3.778512
rbaiaa,Rbaïaâ(Syrian Arab Republic),35.8166667,37.35
rbaita,Rbaïta(Syrian Arab Republic),36.15,36.65
rban,Rban(Iraq),36.02,45.2402778
rbat,Rbat(Morocco),31.56,-8.51
rbat,Rbat(Morocco),32.3,-9.25
rbat,Rbat(Morocco),30.084163,-9.663875
rbat,Rbat(Morocco),31.666366999999997,-6.368126999999999
rbat el fkih,Rbat El Fkih(Morocco),32.056346000000005,-9.125931
rbat n'taoura,Rbat n'Taoura(Morocco),30.888803000000003,-7.314572999999999
rbate,Rbate(Morocco),30.508184999999997,-6.101605
rbije,Rbije(Morocco),35.205287,-3.76986
rbinka,Rbinka(Iraq),37.2002778,42.6194444
rbit,Rbit(Morocco),31.651035999999998,-4.189025
rbite,Rbite(Morocco),31.651035999999998,-4.189025
rboje,Rboje(Serbia),42.418611,21.040833
rbona,Rbona(Georgia),41.966666700000005,43.5666667
