ui-aku mission,Ui-aku Mission(Papua New Guinea),-9.4666667,149.2
ui-unten,Ui-unten(Japan),26.673889000000003,127.99138899999998
uia,Uia(Angola),-11.407955000000001,14.082279999999999
uia,Uia(Angola),-16.45,14.616667000000001
uia,Uia(Estonia),58.33777779999999,25.244166699999997
uia,Uia(New Zealand),-39.283333,174.23333300000002
uia,Uia(Philippines),16.916559,121.044742
uiacava,Uiacava(Angola),-9.05,15.4
uiacavua,Uiacávua(Angola),-9.05,15.4
uiachi,Uíachi(Mexico),27.933333,-107.3
uiacongo,Uiacongo(Angola),-9.883333,14.15
uiaku,Uiaku(Papua New Guinea),-9.4666667,149.2
uial,Uial(Papua New Guinea),-6.2333333,143.45
uiam,Uiam(Korea),35.562349,127.33601999999999
uiam,Uiam(Korea),37.342,128.5978
uiamba,Uiamba(Angola),-13.716667000000001,15.866667000000001
uiamdong,Uiamdong(Korea (Democratic People's Republic of)),39.035277799999996,125.8063889
uiamiango,Uiamiango(Angola),-8.770591,15.812814000000001
uiamni,Uiamni(Korea),35.521146,127.618324
uiamni,Uiamni(Korea),37.8325,127.6809
uiamni,Uiamni(Korea),34.966667,127.71666699999999
uiamni,Uiamni(Korea),34.757946000000004,128.49020900000002
uiane,Uiane(Mozambique),-22.9011111,35.46944439999999
uiangombe,Uiangombe(Angola),-8.689444,15.375701999999999
uianhangue quibendo,Uianhangue Quibendo(Angola),-8.175386,15.236825
uiasca,Uiasca(Romania),44.866667,24.783333
uibai,Uibaí(Brazil),-11.333333,-42.133333
uibal,Uibal(Brazil),-11.333333,-42.133333
uibaresti,Uibaresti(Romania),46.2,22.75
uibaru,Uibaru(Japan),26.187778,127.65638899999999
uibau,Uibau(Korea),34.966667,127.71666699999999
uibiwa,Uibiwa(Cameroon),9.9666667,14.866666699999998
uibongnae,Uibongnae(Korea),35.292002000000004,128.307348
uibongni,Uibongni(Korea),35.752221999999996,126.63972199999999
uibujarve,Uibujärve(Estonia),58.0283333,27.173055600000005
uiccia,Uiccia(Ethiopia),8.566667,35.35
uichang,Uichang(Korea),36.1125,129.35222199999998
uichangdong,Uichangdong(Korea (Democratic People's Republic of)),38.431388899999995,125.54194440000002
uichbine,Uichbiné(Brazil),2.583333,-60.13333299999999
uiche,Uiche(Angola),-12.033333,20.85
uichi,Uichi(Japan),26.336944,127.785556
uichi,Uichi(Uzbekistan),41.02638889999999,71.85611109999999
uichibine,Uichibine(Brazil),2.583333,-60.13333299999999
uichon,Uichon(Korea (Democratic People's Republic of)),38.023888899999996,125.52333329999999
uichteritz,Uichteritz(Germany),51.2,11.916667
uicole,Uìcole(Mozambique),-14.447222199999999,37.415833299999996
uicuco,Uicuco(Angola),-11.151611,14.349381
uid shabozai,Uid Shabozai(Pakistan),30.393064000000003,68.793389
uidanovo,Uidanovo(Russian Federation),56.9344,86.546
uidesti,Uidesti(Romania),47.383333,26.466666999999998
uidong,Uidong(Korea (Democratic People's Republic of)),37.9094444,126.44388889999999
uidong,Uidong(Korea (Democratic People's Republic of)),38.735833299999996,125.49583329999999
uidong,Uidong(Korea (Democratic People's Republic of)),39.9,126.45
uidong,Uidong(Korea),36.3295,127.8333
uidong,Uidong(Korea),37.4859,128.3912
uidong,Uidong(Korea),37.666667,127.016667
uidong,Uidong(Korea),36.483333,126.983333
uidong,Uidong(Korea),35.4,128.53638899999999
uidori,Uidori(Korea),34.618333,125.85138899999998
uidrus,Uidrus(Kazakhstan),48.3,75.033333
uidurus,Uidurus(Kazakhstan),48.3,75.033333
uieante,Uieante(Philippines),7.315556,125.714444
uiengossi,Uiengossi(Burkina Faso),13.7833333,0.3
uieque,Uieque(Mozambique),-14.384444400000001,39.3433333
uiesti,Uiesti(Romania),44.355,25.617222
uiezdziec,Uiezdziec(Poland),50.431298999999996,17.050498
uifat,Uifat(Libya),31.9377778,11.955277800000001
uiffingen,Uiffingen(Germany),49.502221999999996,9.593889
uig,Uig(United Kingdom of Great Britain and Northern Ireland),57.466667,-6.683333
