vvara,Vvara(India),21.116667,73.4
vvedenenka,Vvedenenka(Russian Federation),56.25,58.783333
vvedenka,Vvedenka(Kazakhstan),54.0225,63.776111
vvedenka,Vvedenka(Russian Federation),51.672,37.1745
vvedenka,Vvedenka(Russian Federation),52.293935999999995,39.072112
vvedenka,Vvedenka(Russian Federation),52.601303,43.649296
vvedenka,Vvedenka(Russian Federation),45.8775,133.91222199999999
vvedenka,Vvedenka(Russian Federation),54.008363,50.551784000000005
vvedenka,Vvedenka(Russian Federation),53.165206999999995,42.017237
vvedenka,Vvedenka(Russian Federation),53.507875,37.657976
vvedenka,Vvedenka(Russian Federation),51.714444,40.846111
vvedenka,Vvedenka(Ukraine),49.824409,36.507474
vvedenka,Vvedenka(Ukraine),46.173125,29.53077
vvedenovka,Vvedenovka(Russian Federation),51.309444,128.207222
vvedenovka,Vvedenovka(Russian Federation),52.4466,38.7715
vvedenovka,Vvedënovka(Russian Federation),53.662778,40.058333000000005
vvedenshchina,Vvedenshchina(Russian Federation),52.207221999999994,103.940833
vvedensk,Vvedensk(Russian Federation),54.7524,81.4838
vvedenskaya,Vvedenskaya(Russian Federation),59.36833299999999,30.443889000000002
vvedenskaya,Vvedenskaya(Russian Federation),45.8775,133.91222199999999
vvedenskaya,Vvedenskaya(Russian Federation),55.759398,48.692427
vvedenskaya belitsa,Vvedenskaya Belitsa(Russian Federation),51.1245,35.5545
vvedenskaya gotnya,Vvedenskaya Gotnya(Russian Federation),50.736999999999995,35.8992
vvedenskaya sloboda,Vvedenskaya Sloboda(Russian Federation),55.759398,48.692427
vvedenskiy,Vvedenskiy(Kazakhstan),54.0225,63.776111
vvedenskiy,Vvedenskiy(Russian Federation),50.7749,35.8972
vvedenskiy,Vvedenskiy(Russian Federation),54.7524,81.4838
vvedenskiy,Vvedenskiy(Russian Federation),51.2972,40.4314
vvedenskoye,Vvedenskoye(Russian Federation),52.207221999999994,103.940833
vvedenskoye,Vvedenskoye(Russian Federation),56.964338,41.329640999999995
vvedenskoye,Vvedenskoye(Russian Federation),58.755405,43.033931
vvedenskoye,Vvedenskoye(Russian Federation),55.4275,65.119722
vvedenskoye,Vvedenskoye(Russian Federation),51.6709,37.2699
vvedenskoye,Vvedenskoye(Russian Federation),59.36833299999999,30.443889000000002
vvedenskoye,Vvedenskoye(Russian Federation),52.711179,39.675901
vvedenskoye,Vvedenskoye(Russian Federation),55.283951,38.009395
vvedenskoye,Vvedenskoye(Russian Federation),52.27841,37.413005
vvedenskoye,Vvedenskoye(Russian Federation),53.662778,40.058333000000005
vvedenskoye,Vvedenskoye(Russian Federation),53.729427,38.901713
vvedenskoye,Vvedenskoye(Russian Federation),57.2958,37.4279
vvedenskoye,Vvedenskoye(Russian Federation),57.627387,40.20069
vvedenskoye,Vvedenskoye(Ukraine),49.824409,36.507474
vvedenskoye,Vvedenskoye(Ukraine),46.173125,29.53077
vvedenye,Vvedenye(Russian Federation),56.964338,41.329640999999995
vvedenye,Vvedenye(Russian Federation),58.804753000000005,46.889236
vvedenye,Vvedenye(Russian Federation),55.2778,32.2449
vvedenye,Vvedenye(Russian Federation),58.13783299999999,36.427374
vvedenye,Vvedenye(Russian Federation),57.4509,39.775999999999996
vvedenye-sysoyevo,Vvedenye-Sysoyevo(Russian Federation),59.649271,43.163255
vvedenye-tupanovo,Vvedenye-Tupanovo(Russian Federation),59.66141700000001,43.244044
vvedinka,Vvedinka(Russian Federation),51.714444,40.846111
vvoz,Vvoz(Russian Federation),56.757484999999996,44.614496
vvozy,Vvozy(Russian Federation),53.586389000000004,33.340278000000005
